Date,Rate
1/15/2021,"1,334.64"
1/18/2021,"1,329.62"
1/19/2021,"1,331.87"
1/20/2021,"1,332.84"
1/21/2021,"1,330.00"
1/22/2021,"1,332.74"
1/25/2021,"1,334.09"
1/26/2021,"1,327.69"
1/27/2021,"1,330.86"
1/28/2021,"1,328.43"
1/29/2021,"1,329.04"
2/1/2021,"1,329.05"
2/2/2021,"1,345.25"
2/3/2021,"1,385.42"
2/4/2021,"1,407.74"
2/5/2021,"1,399.38"
2/8/2021,"1,405.03"
2/9/2021,"1,405.94"
2/10/2021,"1,408.07"
2/11/2021,"1,409.40"
2/12/2021,"1,408.53"
2/15/2021,"1,410.42"
2/16/2021,"1,417.25"
2/17/2021,"1,412.10"
2/18/2021,"1,407.70"
2/19/2021,"1,412.37"
2/22/2021,"1,407.28"
2/23/2021,"1,410.49"
2/24/2021,"1,409.69"
2/25/2021,"1,415.73"
2/26/2021,"1,413.98"
3/1/2021,"1,409.31"
3/2/2021,"1,403.72"
3/3/2021,"1,409.78"
3/4/2021,"1,417.07"
3/5/2021,"1,411.92"
3/8/2021,"1,412.39"
3/9/2021,"1,410.21"
3/10/2021,"1,405.81"
3/11/2021,"1,407.75"
3/12/2021,"1,405.70"
3/15/2021,"1,409.35"
3/16/2021,"1,415.16"
3/17/2021,"1,399.83"
3/18/2021,"1,413.13"
3/19/2021,"1,409.31"
3/22/2021,"1,409.23"
3/23/2021,"1,413.80"
3/24/2021,"1,412.38"
3/25/2021,"1,414.30"
3/26/2021,"1,404.10"
3/29/2021,"1,410.61"
3/30/2021,"1,411.73"
3/31/2021,"1,410.69"
4/1/2021,"1,405.22"
4/2/2021,"1,407.01"
4/5/2021,"1,400.88"
4/6/2021,"1,402.36"
4/7/2021,"1,412.69"
4/8/2021,"1,403.76"
4/9/2021,"1,408.12"
4/12/2021,"1,409.72"
4/13/2021,"1,402.93"
4/14/2021,"1,407.05"
4/15/2021,"1,409.39"
4/16/2021,"1,410.82"
4/19/2021,"1,410.50"
4/20/2021,"1,411.55"
4/21/2021,"1,406.93"
4/22/2021,"1,413.94"
4/23/2021,"1,557.50"
4/26/2021,"1,558.90"
4/27/2021,"1,556.75"
4/28/2021,"1,550.04"
4/29/2021,"1,557.33"
4/30/2021,"1,565.47"
5/3/2021,"1,556.77"
5/4/2021,"1,557.36"
5/5/2021,"1,558.88"
5/6/2021,"1,554.69"
5/7/2021,"1,545.71"
5/10/2021,"1,561.68"
5/11/2021,"1,558.97"
5/12/2021,"1,564.53"
5/13/2021,"1,555.75"
5/14/2021,"1,553.51"
5/17/2021,"1,559.29"
5/18/2021,"1,643.72"
5/19/2021,"1,650.16"
5/20/2021,"1,641.26"
5/21/2021,"1,651.29"
5/24/2021,"1,645.74"
5/25/2021,"1,645.54"
5/26/2021,"1,651.91"
5/27/2021,"1,647.48"
5/28/2021,"1,644.04"
5/31/2021,"1,641.17"
6/1/2021,"1,647.17"
6/2/2021,"1,640.74"
6/3/2021,"1,653.90"
6/4/2021,"1,638.23"
6/7/2021,"1,641.22"
6/8/2021,"1,646.59"
6/9/2021,"1,647.83"
6/10/2021,"1,645.16"
6/11/2021,"1,652.15"
6/14/2021,"1,646.07"
6/15/2021,"1,644.68"
6/16/2021,"1,662.91"
6/17/2021,"1,649.30"
6/18/2021,"1,653.46"
6/21/2021,"1,642.70"
6/22/2021,"1,639.55"
6/23/2021,"1,648.06"
6/24/2021,"1,647.78"
6/25/2021,"1,647.34"
6/28/2021,"1,647.75"
6/29/2021,"1,647.04"
6/30/2021,"1,650.33"
7/1/2021,"1,648.35"
7/2/2021,"1,640.51"
7/5/2021,"1,647.91"
7/6/2021,"1,648.60"
7/7/2021,"1,649.75"
7/8/2021,"1,645.31"
7/9/2021,"1,642.81"
7/12/2021,"1,643.63"
7/13/2021,"1,655.73"
7/14/2021,"1,640.67"
